H,S,V,Culoare
60.51942008233399,94.64524789690353,161.5111866833721,Verde
58.7055576703464,131.50038066235248,152.44029945438396,Verde
57.483067172062384,138.04753619586157,155.90281488846082,Verde
57.91523019082074,153.61970632049372,161.0267432787118,Verde
58.90304238664894,157.87498153891596,175.40865455619553,Verde
60.04935704935705,158.8961268961269,185.47693847693847,Verde
61.09254788347015,160.80315467568002,190.34677289554162,Verde
61.5357689039932,166.54732370433305,192.8412064570943,Verde
61.56673013674918,167.6461831400381,194.31746581270556,Verde
61.228336827393434,168.54987770789657,195.04996505939903,Verde
61.604655263621936,168.5991006877094,198.99955916064187,Verde
62.609612817089456,169.72443257676903,201.73377837116155,Verde
63.078360891445,171.522016534867,202.11601365923795,Verde
63.52242791028836,170.3434496262015,203.0064969740121,Verde
63.391553517898075,170.56753658966673,201.46843590195732,Verde
63.768135291499775,171.1072541165999,200.8194036493102,Verde
64.40224618149146,171.7789757412399,204.11015274034142,Verde
65.2691156462585,174.27854875283447,206.81614512471654,Verde
65.29101527403414,175.15354896675652,206.9486073674753,Verde
65.44043126684636,175.65238095238095,206.8236298292902,Verde
66.37197278911565,176.16571428571427,210.2162358276644,Verde
66.51159029649595,176.24115004492364,210.8021563342318,Verde
66.82269692923899,177.98584779706275,209.89684023141967,Verde
67.16238317757009,179.70165348670022,208.6822429906542,Verde
67.45507637017072,180.8325247079964,207.60242587601078,Verde
66.95767195767196,180.68456790123457,204.74876543209876,Verde
66.94479385045423,180.94068832983928,203.1021139063592,Verde
66.6868616929202,181.56872078933702,200.37675263977843,Verde
66.68902544573308,181.70841267093647,196.34646010039813,Verde
67.54421279654925,184.75952552120776,186.5452911574407,Verde
67.77488431176845,185.55176481263044,183.28536430450959,Verde
66.67078334509527,184.72812279463656,181.02408256880733,Verde
66.15410839160839,183.8743006993007,173.60314685314685,Verde
66.46389824167602,185.9337822671156,155.5545267489712,Verde
64.78258190407723,177.59094176851187,141.78710074971758,Verde
61.71190130624093,161.6075229801645,131.90940977261732,Verde
60.59701492537314,149.2599267811884,128.23584905660377,Verde
60.66541964866623,138.41021470396876,126.36792452830188,Verde
61.14901809780516,127.81844435887562,124.7828263380824,Verde
59.36108299595141,124.88917004048584,118.18901821862349,Verde
56.96296296296296,117.35778496943546,112.63825961884214,Verde
99.18888888888888,120.11111111111111,199.83968253968254,Albastru
98.03793293018141,142.35184167124794,213.42770753161076,Albastru
97.45597638957206,140.6817511067388,211.88391539596654,Albastru
96.1820204717401,147.3293279928794,218.4076546506453,Albastru
96.05355814530127,166.09223902801884,230.9293330027275,Albastru
96.04722838137472,178.53059866962306,229.94235033259423,Albastru
96.1039806547619,176.19661458333334,233.34840029761904,Albastru
96.30243506493507,181.0340909090909,237.4724025974026,Albastru
96.37244430881904,183.25038144644492,238.4061641745499,Albastru
95.96944137168141,179.97400442477877,238.33683628318585,Albastru
96.03921034717494,181.66780122532336,237.99686861810756,Albastru
95.93083730428863,181.02273655547992,237.8853641933288,Albastru
96.4384752829065,174.33889219773675,239.94365693865396,Albastru
96.17008695652174,170.75292753623188,241.05808695652175,Albastru
96.04193703436674,174.55335255948089,240.2929584234559,Albastru
96.75146198830409,160.8190383365822,242.2296946068876,Albastru
94.57969464164154,118.61927453077895,244.15686083827677,Albastru
94.16612158522508,115.09763370527126,241.92660638707196,Albastru
94.51269719122739,117.72133512889573,241.8181031165833,Albastru
94.55187347015628,119.28440971568443,242.24985878365655,Albastru
94.90921145685998,120.76723833097596,242.1525813295615,Albastru
95.127828854314,122.89639321074965,241.62897807637907,Albastru
95.51046831955922,124.16152433425161,243.8730945821855,Albastru
96.71232323232323,138.16171717171719,241.60282828282828,Albastru
98.05066844919786,176.94973262032084,240.2951871657754,Albastru
97.54865160349854,175.53972303206996,235.16654518950438,Albastru
97.03626126126126,180.25157657657658,234.59977477477477,Albastru
98.03338632750398,169.19713831478538,235.68892421833598,Albastru
98.79047619047618,136.6547619047619,222.84428571428572,Albastru
99.10665294924554,146.33504801097394,236.47222222222223,Albastru
97.61040285568588,176.87523372429033,237.37735849056602,Albastru
97.30848861283644,182.87758799171843,237.3203933747412,Albastru
97.29834644081468,167.5916515426497,240.19681387376488,Albastru
95.8931623931624,145.79190650619222,240.53130995988138,Albastru
96.20594220594221,149.9009361009361,242.06674806674806,Albastru
97.64968652037618,167.42084639498432,242.49451410658307,Albastru
100.16414950419527,203.74111365369947,243.91762013729976,Albastru
100.42499263188918,216.13734158561743,235.32773356911287,Albastru
100.0958503798948,219.54032729398014,227.35870835768557,Albastru
99.49065488264272,219.05744711677775,222.41038829324833,Albastru
99.72082166199813,218.30517848164908,220.6813905049199,Albastru
99.70767794297205,218.10730446024564,222.62148962148962,Albastru
99.83554131054132,220.1472222222222,220.68853276353278,Albastru
99.92309322033898,220.03185028248586,218.71920903954802,Albastru
100.08991596638656,218.959243697479,218.38970588235293,Albastru
100.08991596638656,218.959243697479,218.38970588235293,Albastru
100.18053221288515,218.2402661064426,218.9902661064426,Albastru
99.74603939936631,217.96762639482023,217.5334756853561,Albastru
99.65907354677408,217.74435724703105,217.37349815959442,Albastru
99.7549135356622,215.5646919924995,219.65060073616223,Albastru
98.58333333333333,212.03995901639345,220.06871584699454,Albastru
96.57546551271965,201.02235772357724,219.82382638342511,Albastru
94.00162479690039,177.92538432695912,222.08767654043245,Albastru
95.50104145669556,175.8511052879124,230.47040247261978,Albastru
98.25345474878185,201.44835849508746,237.61202971483345,Albastru
98.94337307152875,196.79102384291724,230.1960028050491,Albastru
98.94337307152875,196.79102384291724,230.1960028050491,Albastru
100.24166666666666,178.3369918699187,217.75243902439024,Albastru
93.21899668958493,151.0273745861981,204.7900432900433,Albastru
49.81445170660857,162.4927378358751,131.33769063180827,Verde
53.198690797073546,160.41162880246438,116.85175202156334,Verde
53.198690797073546,160.41162880246438,116.85175202156334,Verde
59.63247863247863,167.04847374847375,125.03577533577534,Verde
47.33915844298246,182.4672423245614,169.215117872807,Galben
65.64559736938253,178.87668980635732,140.6214833759591,Verde
69.44339622641509,198.7534797401794,161.7056913083823,Verde
69.19118518518519,196.75562962962962,162.31385185185187,Verde
61.69771498342927,200.28388278388277,175.4911913483342,Galben
69.95582474974611,201.42927607717974,161.1116349920209,Verde
71.53088071348941,208.7701226309922,162.88517279821627,Verde
72.67308845577212,210.53538230884558,169.10322338830585,Verde
73.70652173913044,211.63148425787105,172.97241379310344,Verde
73.40531977600943,207.99255820807545,178.1391099322134,Verde
72.11058541063484,203.15366146458584,178.90198432314102,Verde
72.11058541063484,203.15366146458584,178.90198432314102,Verde
71.58646988207047,200.6954311136219,176.0935668385001,Verde
71.80680838839415,199.3460930767021,178.71006894570525,Verde
72.25911315654905,199.03477244502886,183.1133757031193,Verde
72.1274746146541,198.64416684929506,185.10614361896413,Verde
72.63036014318065,198.202133099569,186.81941705018627,Verde
73.24085909631391,199.2861920332937,187.88495838287753,Verde
73.73600305110602,201.9580472921434,186.95179252479025,Verde
73.56067718353212,201.68156983455174,183.74297806848787,Verde
73.48926510196229,201.25994613312812,182.99923047325893,Verde
73.65288220551379,202.00219298245614,180.97540726817041,Verde
73.51100338565712,196.61795937211448,188.73399507540782,Verde
73.51100338565712,196.61795937211448,188.73399507540782,Verde
73.6813369630974,197.97360859044161,194.93715970961887,Verde
73.50766283524904,197.76783082817565,189.2502210433245,Verde
71.25946327683616,192.27457627118645,174.27627118644068,Verde
71.67769493631563,198.09141037589313,153.81787822305063,Verde
67.23887567186536,187.85531764913208,128.1926160895233,Verde
64.7577288941736,168.9683908045977,116.37029330162505,Verde
63.83252873563218,149.5909195402299,115.3228735632184,Verde
62.82520808561237,134.47577288941736,119.47473246135553,Verde
61.614750957854405,126.06819923371647,120.84521072796935,Verde
58.258166969147005,128.33847549909257,115.34777676950998,Verde
58.258166969147005,128.33847549909257,115.34777676950998,Verde
30.29498882265276,56.19700074515648,243.0492734724292,Galben
54.886853448275865,121.82183908045977,116.45761494252874,Verde
32.720017256255396,111.28947368421052,213.24201898188093,Galben
28.79141818181818,99.656,242.76785454545455,Galben
28.166119321291735,114.39586754241927,242.94991789819375,Galben
27.63378512396694,131.23021487603305,245.01143801652893,Galben
26.555177928828467,148.27229108356659,236.08889777422365,Galben
26.153159157557983,149.945481205012,230.5933084510797,Galben
26.219328397673188,149.13676626123745,228.33315705975673,Galben
26.31392604248623,148.53291371623394,226.43109100445844,Galben
26.224616604970915,148.62830512956108,224.0067424643046,Galben
96.35175438596491,114.81666666666666,191.29473684210527,Albastru
